istaigos_kodas;gydytojo_ID;data_nuo;data_iki;iraso_sukurimo_data
124244754;1404;2019-03-20;2019-04-05;2019-03-29 15:20:00
124244754;1715;2019-03-25;2019-03-29;2019-03-29 15:20:00
124244754;405;2019-03-23;2019-03-29;2019-03-29 15:20:00
124244754;1403;2019-03-29;2019-03-29;2019-03-29 15:20:00
